,movie_name,year,imdb_rating,meta_rating,total_votes
524,Too Late to Die Young,2018,6.6,83        ,268
525,Under the Wire,2018,8.0,75        ,268
526,In Like Flynn,2018,5.2,66        ,267
527,Profile,2018,7.5,66        ,265
528,What You Gonna Do When the World's on Fire?,2018,7.2,62        ,261
529,Bathtubs Over Broadway,2018,8.0,78        ,261
530,Finding Steve McQueen,2018,6.6,56        ,252
531,All These Small Moments,2018,5.5,60        ,257
532,The World Before Your Feet,2018,8.0,78        ,256
533,Say Her Name: The Life and Death of Sandra Bland,2018,6.4,76        ,255
534,A Land Imagined,2018,6.7,62        ,253
535,Elliot the Littlest Reindeer,2018,5.2,38        ,251
536,On Her Shoulders,2018,7.4,84        ,246
537,Sadie,2018,5.8,62        ,244
538,Unlovable,2018,5.7,77        ,241
539,The Waldheim Waltz,2018,7.5,82        ,239
540,Genesis 2.0,2018,7.1,60        ,234
